map:map10x10.json
player1:random_bot.py
player2:mcts
W | S archer
S archer | S archer
W | F 1 5
W | S archer
W | S archer
F 5 4 | F 3 3
T 6 1 | S archer
T 5 3 | F 6 5
W | W
F 3 8 | W
F 2 7 | S swordsman
S swordsman | W
T 4 2 | W
W | W
S archer | F 3 6
W | W
S archer | W
F 5 7 | F 7 6
T 9 4 | W
W | W
S archer | F 8 9
S archer | W
F 8 1 | W
S archer | F 5 8
S archer | W
W | F 7 5
W | W
W | W
T 6 5 | F 2 3
T 5 9 | W
S archer | F 1 0
S swordsman | F 6 4
T 7 5 | W
W | F 2 2
W | W
S swordsman | S archer
F 5 8 | W
S archer | S swordsman
T 8 3 | F 2 1
W | W
F 6 5 | W
W | S archer
W | S archer
T 6 8 | W
T 5 6 | S archer
W | W
S archer | S archer
S archer | W
W | F 2 0
F 2 2 | F 0 5
S swordsman | F 4 4
S swordsman | F 8 6
S archer | F 0 2
W | W
S swordsman | S archer
T 5 5 | F 0 3
T 5 2 | F 9 6
T 2 4 | S swordsman
S swordsman | W
S swordsman | T 7 8
S archer | F 4 6
S archer | S archer
W | F 8 8
S swordsman | S archer
T 2 0 | S swordsman
W | F 2 6
T 3 7 | S archer
S swordsman | F 6 8
