map:map10x10.json
player1:random_bot.py
player2:mcts
W | F 2 1
S swordsman | F 1 5
W | F 0 2
T 2 8 | F 8 8
F 1 5 | F 6 5
S swordsman | F 5 4
T 7 2 | F 3 6
W | F 0 5
T 7 8 | F 5 7
T 4 2 | F 3 3
W | F 4 3
F 0 7 | S archer
T 4 4 | S archer
W | F 5 8
T 9 7 | W
W | S archer
F 2 5 | W
F 2 3 | F 1 0
T 4 0 | S swordsman
T 2 5 | W
T 4 2 | F 9 6
W | F 7 6
T 3 7 | S swordsman
W | F 8 6
W | W
W | F 2 0
W | F 6 4
T 4 8 | F 6 8
F 1 6 | F 2 6
T 1 9 | F 4 6
F 9 6 | F 7 5
W | S archer
T 6 1 | S archer
F 1 7 | F 0 4
W | S archer
