map:map10x10.json
player1:random_bot.py
player2:mcts
F 4 9 | S archer
T 2 5 | F 2 5
W | F 5 7
S archer | F 1 0
S archer | S archer
W | S archer
T 1 5 | F 8 6
F 3 7 | S archer
F 1 0 | F 6 4
S swordsman | S archer
T 8 5 | W
S archer | W
S archer | W
W | F 4 7
F 2 9 | W
T 1 4 | W
T 1 7 | F 2 2
S archer | W
T 5 8 | F 8 9
W | W
W | W
S swordsman | F 7 6
S swordsman | W
T 5 7 | F 9 6
W | W
S swordsman | F 6 8
T 0 6 | W
F 0 8 | F 8 8
F 5 7 | S swordsman
F 7 3 | W
W | F 7 8
T 9 4 | S swordsman
S swordsman | W
W | F 0 5
W | S swordsman
W | W
S swordsman | S swordsman
W | S swordsman
F 1 8 | F 0 3
W | W
T 7 2 | S archer
W | T 4 4
W | F 4 6
W | F 4 3
W | W
W | S archer
F 7 1 | F 2 3
T 0 7 | F 6 5
T 6 0 | S swordsman
F 8 9 | T 0 2
F 9 6 | F 2 0
W | S swordsman
F 0 7 | F 5 4
S archer | F 2 5
S swordsman | S swordsman
S archer | F 0 4
F 8 4 | F 3 6
S swordsman | S archer
F 3 4 | S archer
W | F 5 8
T 4 7 | F 3 3
T 4 8 | S archer
S archer | S swordsman
W | F 2 6
S archer | S archer
W | T 2 1
T 7 5 | S swordsman
S archer | T 7 5
S swordsman | W
W | S archer
T 1 4 | S swordsman
