map:map10x10.json
player1:random_bot.py
player2:mcts
T 7 5 | S archer
T 6 4 | F 4 7
T 0 3 | F 4 3
W | S swordsman
W | F 1 5
F 6 0 | F 2 6
T 6 3 | F 5 4
T 0 1 | S archer
S swordsman | F 0 2
T 2 8 | F 5 7
F 0 7 | S swordsman
S archer | W
S archer | S swordsman
S swordsman | W
F 5 2 | F 2 0
F 4 9 | W
F 6 9 | S swordsman
T 8 0 | W
F 7 1 | F 5 8
W | W
T 7 5 | F 8 6
F 5 3 | W
S archer | F 3 6
S archer | W
F 6 7 | S swordsman
F 0 8 | F 8 9
T 7 2 | W
S archer | F 0 5
W | W
W | F 2 1
S archer | W
T 2 1 | T 2 2
F 7 6 | F 6 8
S archer | F 4 6
T 0 5 | F 6 5
S archer | W
T 0 9 | S archer
W | F 7 6
F 6 2 | F 2 3
T 0 3 | F 3 3
S archer | S swordsman
T 5 5 | F 2 5
F 3 6 | F 7 8
T 3 6 | F 9 6
W | F 8 8
S archer | S swordsman
F 3 5 | T 4 4
T 5 0 | W
S archer | S swordsman
F 1 4 | S swordsman
T 7 3 | S archer
S archer | S swordsman
T 0 9 | F 1 0
W | S swordsman
S swordsman | S swordsman
S archer | T 0 4
S archer | S swordsman
T 0 5 | S swordsman
T 2 1 | S swordsman
F 3 7 | S archer
W | S swordsman
F 7 8 | S swordsman
S archer | S archer
S archer | S archer
T 2 2 | S archer
S archer | W
W | S swordsman
S archer | W
S archer | W
T 1 3 | S swordsman
W | W
