map:map10x10.json
player1:random_bot.py
player2:mcts
S swordsman | S archer
F 0 8 | S archer
F 1 4 | S swordsman
S archer | F 3 6
T 2 0 | F 4 4
F 5 7 | F 4 7
S swordsman | S archer
F 1 5 | S archer
F 8 9 | F 7 5
S archer | W
T 7 8 | W
T 8 5 | F 8 6
S archer | W
W | W
S archer | F 8 8
W | W
S swordsman | W
T 2 4 | F 4 6
T 0 0 | W
S archer | S swordsman
F 3 9 | W
F 7 4 | F 9 6
S swordsman | W
W | W
W | S swordsman
F 5 1 | W
T 6 7 | F 7 6
F 8 4 | W
F 8 3 | F 4 3
T 9 3 | S swordsman
S swordsman | W
S archer | S swordsman
F 6 2 | W
S swordsman | W
S archer | S archer
T 1 8 | F 5 4
S swordsman | W
T 9 4 | F 2 1
W | F 0 3
T 9 0 | W
S swordsman | F 3 3
