map:map10x10.json
player1:random_bot.py
player2:mcts
T 4 9 | F 0 4
W | S archer
F 7 2 | F 2 5
T 8 0 | F 4 4
W | S archer
W | S archer
S archer | S archer
W | F 6 4
F 3 8 | F 9 6
F 9 8 | W
F 8 8 | F 0 3
S archer | W
S swordsman | F 3 3
W | W
S swordsman | W
W | F 8 9
F 0 5 | W
S archer | S swordsman
S archer | W
T 6 0 | F 3 6
S archer | W
T 7 5 | F 7 6
T 3 1 | W
F 9 8 | F 2 6
S archer | F 2 3
S swordsman | W
F 7 5 | F 8 6
F 0 5 | F 5 7
W | W
T 0 3 | W
F 9 4 | F 1 0
F 8 7 | W
W | F 0 2
W | F 2 0
W | F 4 7
F 3 9 | F 1 5
W | S archer
W | W
T 1 1 | F 5 4
T 2 1 | S swordsman
T 0 5 | S swordsman
S swordsman | S archer
S swordsman | T 6 5
W | T 5 8
S swordsman | W
F 9 7 | T 4 6
W | F 4 3
W | F 7 5
S swordsman | W
S archer | S archer
W | S archer
S swordsman | F 2 2
S swordsman | T 6 8
F 8 6 | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
F 9 1 | T 7 8
S archer | S swordsman
W | S swordsman
T 7 7 | S swordsman
T 4 8 | S archer
F 6 5 | W
F 2 6 | S archer
W | S swordsman
S swordsman | S archer
T 0 5 | S swordsman
T 6 2 | S swordsman
S swordsman | S swordsman
S archer | W
S swordsman | W
S archer | W
S archer | S swordsman
T 1 2 | W
F 1 9 | S swordsman
T 8 0 | S archer
T 5 5 | W
S archer | S archer
S swordsman | S archer
F 5 5 | W
T 1 2 | S archer
S swordsman | W
W | S swordsman
S archer | W
T 6 8 | W
T 4 1 | S swordsman
W | S swordsman
T 1 8 | S archer
S swordsman | S archer
S archer | S swordsman
W | S swordsman
F 8 7 | S swordsman
S archer | S swordsman
W | S archer
W | W
T 3 5 | S archer
T 2 1 | S swordsman
S swordsman | S swordsman
T 3 7 | W
F 3 8 | W
S swordsman | S swordsman
W | S swordsman
T 2 5 | S swordsman
W | S swordsman
T 6 6 | S swordsman
S swordsman | S swordsman
S archer | S swordsman
S archer | S swordsman
T 1 0 | S archer
