map:map10x10.json
player1:random_bot.py
player2:mcts
T 1 8 | F 4 6
F 5 8 | F 6 4
F 2 2 | F 6 8
F 5 4 | S archer
F 5 0 | F 7 6
F 3 4 | S swordsman
S archer | S archer
S archer | F 7 5
W | S archer
F 5 2 | F 2 5
F 7 9 | F 2 6
T 3 1 | W
F 6 0 | W
F 0 8 | F 3 3
W | W
S swordsman | F 9 6
F 9 5 | W
T 8 3 | F 0 5
S archer | W
F 6 8 | S archer
T 4 7 | W
W | F 4 3
S swordsman | W
W | F 6 5
S archer | S swordsman
F 2 9 | W
F 0 5 | S swordsman
W | F 3 6
T 8 9 | W
S swordsman | S archer
T 2 5 | W
T 2 4 | S archer
S swordsman | W
F 7 7 | F 2 3
T 3 0 | S swordsman
W | F 7 8
S swordsman | F 5 7
F 9 2 | W
S swordsman | S archer
W | F 4 4
T 8 5 | S swordsman
F 1 4 | F 2 0
W | W
F 9 6 | S archer
T 5 6 | F 0 2
T 7 4 | S swordsman
S swordsman | S swordsman
W | F 1 5
T 7 3 | S archer
T 4 5 | S swordsman
F 5 2 | F 0 3
S swordsman | F 1 0
F 4 1 | S archer
F 3 1 | F 2 1
W | F 8 6
F 2 9 | W
S swordsman | S archer
F 8 3 | W
T 6 4 | S archer
W | S archer
W | S archer
