map:map10x10.json
player1:random_bot.py
player2:mcts
W | W
W | F 2 1
T 7 8 | F 5 8
T 3 0 | F 3 3
W | S archer
W | S archer
T 5 0 | F 2 6
S archer | S archer
F 8 5 | S archer
F 6 9 | S archer
S swordsman | W
W | F 5 4
S swordsman | W
W | W
S archer | F 4 6
W | W
S swordsman | W
S archer | F 7 6
W | W
T 3 2 | F 2 5
W | W
F 9 3 | W
F 5 8 | F 0 5
W | W
F 0 5 | F 1 5
W | F 4 7
F 1 4 | W
W | F 8 9
S swordsman | W
S archer | F 6 5
F 3 2 | F 5 7
W | F 0 2
W | W
S swordsman | S swordsman
F 4 8 | S archer
T 3 0 | W
W | S archer
S archer | F 2 2
T 7 3 | W
W | S archer
W | F 6 4
S swordsman | F 0 3
F 7 7 | S swordsman
F 2 3 | S swordsman
T 3 6 | F 8 8
W | S swordsman
T 3 5 | F 3 6
W | S swordsman
F 3 6 | S swordsman
F 4 1 | F 0 4
T 0 3 | F 2 3
W | F 6 8
T 7 4 | F 4 4
F 7 4 | F 1 0
F 2 5 | F 7 5
F 2 6 | T 8 6
F 8 2 | S swordsman
S swordsman | S swordsman
T 3 0 | S archer
W | T 4 3
