map:map10x10.json
player1:random_bot.py
player2:mcts
T 4 4 | S swordsman
S archer | F 2 2
W | S archer
W | F 1 0
S archer | S archer
W | F 2 1
T 6 9 | F 6 4
W | F 4 6
F 7 0 | F 4 3
F 0 5 | F 7 6
F 4 3 | F 1 5
T 1 7 | W
F 7 4 | F 5 8
F 2 4 | W
S archer | F 9 6
F 9 3 | W
S swordsman | F 2 5
S swordsman | W
W | S archer
F 2 6 | W
T 0 2 | S swordsman
S swordsman | F 8 6
S swordsman | W
W | F 7 5
F 1 7 | F 3 3
F 3 0 | W
S archer | S archer
W | W
W | S archer
S swordsman | F 2 3
W | W
S archer | F 0 4
T 7 3 | F 6 5
T 0 1 | S swordsman
S swordsman | F 5 7
S swordsman | F 6 8
T 3 4 | F 0 3
T 7 9 | S swordsman
T 4 4 | S swordsman
W | F 2 0
F 2 7 | W
S archer | T 3 6
F 4 0 | F 4 7
W | S archer
W | S swordsman
W | T 7 8
F 6 8 | F 5 4
S archer | F 8 8
T 9 4 | S archer
S archer | S archer
S archer | S swordsman
W | S swordsman
F 5 2 | S archer
F 2 2 | S archer
F 1 7 | S swordsman
F 1 3 | S swordsman
S archer | S archer
W | S archer
S swordsman | S archer
F 1 5 | W
T 4 1 | T 8 9
T 1 3 | S swordsman
F 0 5 | S archer
T 1 8 | W
