map:map10x10.json
player1:random_bot.py
player2:mcts
F 5 7 | S archer
W | S archer
T 2 6 | S swordsman
W | W
F 0 6 | S swordsman
W | F 2 5
F 0 9 | F 4 6
S swordsman | F 3 6
T 4 5 | F 6 5
S archer | F 9 6
W | S swordsman
F 1 8 | W
F 6 6 | F 5 4
S archer | W
S swordsman | W
W | S swordsman
S archer | W
T 7 8 | F 4 7
S archer | W
T 3 7 | F 6 8
F 1 4 | W
F 4 9 | W
F 0 4 | F 1 0
T 8 1 | W
F 8 2 | F 2 1
F 0 1 | F 0 5
F 6 1 | W
T 3 6 | F 2 3
T 7 2 | W
W | F 7 6
W | S swordsman
F 2 5 | S swordsman
T 1 8 | W
F 4 8 | S swordsman
S swordsman | F 4 4
S swordsman | W
S archer | W
S archer | T 8 8
T 0 4 | W
F 4 9 | F 5 8
F 0 9 | F 8 9
W | S archer
W | S swordsman
S archer | S swordsman
T 0 1 | S swordsman
S archer | F 3 3
S swordsman | W
F 7 4 | S swordsman
W | F 7 5
T 5 0 | S swordsman
S swordsman | S archer
W | F 8 6
F 0 9 | F 0 2
T 9 9 | F 0 3
W | W
F 3 3 | S archer
T 8 9 | S archer
W | S swordsman
T 5 4 | S archer
W | S archer
W | S swordsman
W | F 4 3
T 9 4 | F 1 5
S archer | T 2 2
W | T 2 0
F 5 0 | S swordsman
W | F 6 4
S swordsman | S archer
S archer | S archer
W | S swordsman
T 2 6 | S swordsman
F 7 8 | S swordsman
F 2 2 | S archer
W | S swordsman
S archer | W
S archer | S swordsman
F 7 0 | W
T 1 2 | S archer
F 0 0 | W
