map:map10x10.json
player1:random_bot.py
player2:mcts
T 4 1 | S archer
S archer | F 2 5
T 9 7 | S archer
W | F 2 3
F 3 3 | F 0 3
S swordsman | S archer
F 1 2 | S archer
F 2 6 | F 4 4
W | F 1 0
T 0 9 | W
F 0 7 | F 8 8
T 1 5 | W
F 7 1 | W
T 8 3 | F 8 6
F 1 6 | W
S archer | F 7 8
W | W
S swordsman | F 0 5
W | W
S archer | F 5 4
W | W
T 1 4 | F 6 5
S archer | W
F 9 2 | S archer
S swordsman | W
S swordsman | F 3 6
T 7 7 | W
F 0 8 | F 2 2
F 1 4 | S swordsman
F 2 7 | F 6 8
F 1 6 | W
T 4 5 | F 7 5
F 6 3 | F 2 1
S swordsman | F 4 6
T 8 1 | W
F 7 8 | T 0 4
S swordsman | F 6 4
F 7 4 | S swordsman
F 0 7 | F 7 6
S swordsman | F 5 7
S swordsman | S swordsman
F 4 8 | S swordsman
F 9 5 | F 2 0
T 6 8 | S swordsman
W | S archer
T 2 7 | F 0 2
S swordsman | F 8 9
W | W
F 0 1 | F 9 6
T 5 6 | F 4 7
T 0 3 | S swordsman
S swordsman | W
T 6 7 | T 4 3
F 6 4 | T 5 8
F 6 1 | W
F 5 2 | S swordsman
S archer | S archer
S archer | S archer
T 0 8 | W
F 5 2 | W
S swordsman | S archer
F 0 4 | W
S swordsman | S archer
T 4 0 | S swordsman
T 2 2 | S swordsman
S archer | S swordsman
S archer | S swordsman
F 8 2 | S swordsman
T 0 6 | W
T 4 0 | W
W | W
T 3 1 | S swordsman
S archer | S archer
T 5 9 | S swordsman
W | S swordsman
S swordsman | S swordsman
W | S archer
W | S swordsman
W | S archer
T 4 9 | S archer
F 1 5 | W
T 3 8 | W
F 5 9 | W
W | S archer
