map:map10x10.json
player1:random_bot.py
player2:mcts
W | F 2 1
W | F 9 6
S swordsman | F 7 5
S swordsman | S swordsman
W | F 0 3
T 8 7 | F 1 0
W | F 0 2
S archer | F 2 2
W | F 6 4
T 9 2 | S swordsman
S swordsman | F 1 5
W | F 2 0
W | S archer
F 0 1 | F 6 5
S swordsman | W
T 2 6 | F 3 6
F 7 5 | F 4 7
W | W
F 5 1 | F 3 3
T 5 3 | F 7 8
W | F 7 6
S swordsman | W
T 5 6 | S swordsman
T 4 1 | F 2 5
W | F 4 4
W | S swordsman
S archer | S archer
W | F 8 8
W | F 2 3
T 8 8 | W
S swordsman | F 5 7
T 1 4 | S swordsman
F 6 4 | T 6 8
F 3 2 | S archer
T 1 6 | F 5 4
T 4 0 | F 0 4
S swordsman | S archer
S swordsman | S swordsman
S archer | F 8 6
S archer | S swordsman
S archer | W
T 7 6 | S archer
S swordsman | T 5 8
W | T 4 6
S swordsman | T 8 9
S archer | F 0 5
S swordsman | S archer
T 0 0 | S swordsman
T 3 1 | F 4 3
S swordsman | S archer
S archer | S archer
W | S swordsman
F 1 0 | S archer
T 6 4 | S archer
F 7 1 | S archer
F 4 2 | S swordsman
W | S archer
S archer | S swordsman
S archer | S swordsman
S archer | S swordsman
W | W
S archer | S swordsman
F 8 8 | W
T 3 9 | S swordsman
T 5 8 | S swordsman
S swordsman | S swordsman
T 7 2 | S swordsman
T 5 7 | S swordsman
F 0 5 | S archer
W | S archer
W | S swordsman
S archer | S swordsman
S archer | S swordsman
S swordsman | S swordsman
