map:map10x10.json
player1:random_bot.py
player2:mcts
W | S swordsman
T 0 0 | F 1 0
W | F 3 3
T 3 0 | S archer
S archer | F 0 2
W | F 2 3
F 0 4 | F 3 6
W | F 2 6
S archer | S swordsman
W | F 4 6
F 7 7 | W
T 7 4 | S archer
F 7 2 | F 7 6
T 0 7 | W
W | W
W | F 0 5
T 8 6 | F 2 0
W | W
F 1 8 | F 6 8
S swordsman | S swordsman
W | W
T 9 6 | F 1 5
F 9 6 | F 2 1
F 9 3 | W
W | F 2 2
F 5 3 | F 5 4
S swordsman | F 7 5
S swordsman | W
S swordsman | S swordsman
F 1 9 | S archer
F 0 9 | F 4 4
W | W
W | W
T 0 0 | S archer
T 1 6 | W
F 4 7 | S archer
F 1 4 | F 8 8
W | F 6 5
T 8 5 | S archer
F 3 8 | S archer
S archer | F 5 7
F 1 2 | F 0 3
F 4 6 | S swordsman
W | S archer
F 8 0 | F 6 4
T 5 0 | S archer
F 6 4 | F 7 8
F 9 4 | S swordsman
F 8 4 | S archer
W | S archer
F 3 4 | S archer
S archer | W
W | F 4 3
T 8 8 | T 8 9
