map:map10x10.json
player1:random_bot.py
player2:mcts
S swordsman | S archer
W | F 7 5
F 7 0 | F 0 5
T 7 9 | S archer
S swordsman | F 4 3
F 1 3 | F 1 0
W | F 2 3
F 3 4 | S archer
S swordsman | F 6 4
S swordsman | S archer
W | W
F 1 5 | W
S archer | F 4 4
T 9 8 | W
S archer | F 3 6
F 9 0 | W
W | F 4 6
S swordsman | W
T 0 1 | F 0 3
T 0 3 | W
F 5 0 | W
S archer | F 5 8
S archer | F 3 3
W | F 0 2
F 6 5 | W
T 9 0 | F 2 0
F 1 3 | F 2 1
T 7 7 | F 8 9
F 3 8 | W
S swordsman | F 7 6
F 4 5 | F 8 6
W | F 7 8
