map:map10x10.json
player1:random_bot.py
player2:mcts
W | S archer
T 9 8 | F 2 1
T 7 9 | F 2 5
T 3 2 | F 3 6
S archer | F 6 4
W | F 9 6
T 4 6 | F 1 0
W | F 2 0
W | S archer
W | S archer
S swordsman | F 4 7
F 0 0 | W
F 2 6 | S swordsman
F 2 3 | W
S swordsman | F 1 5
F 7 4 | W
S swordsman | F 0 4
S swordsman | W
W | F 5 8
F 8 4 | F 8 8
W | W
W | F 7 8
F 1 0 | F 3 3
W | W
S archer | F 0 2
W | F 0 3
T 0 9 | F 6 8
W | F 5 4
T 2 9 | F 7 5
W | W
W | W
T 2 0 | T 6 5
S swordsman | W
W | S archer
W | F 0 5
W | F 4 3
T 5 3 | W
S swordsman | T 7 6
S swordsman | F 4 4
S swordsman | F 8 9
W | T 8 6
F 6 7 | F 2 2
T 7 5 | S archer
W | S archer
S swordsman | S swordsman
W | T 5 7
W | S swordsman
W | S archer
S archer | S archer
S swordsman | S archer
W | W
S swordsman | S swordsman
W | S archer
T 4 8 | S swordsman
S swordsman | S swordsman
F 1 4 | S swordsman
S swordsman | S archer
F 4 4 | S archer
W | S swordsman
F 5 4 | S archer
S archer | S archer
T 5 9 | S swordsman
W | S swordsman
S swordsman | S archer
S swordsman | S swordsman
S swordsman | S swordsman
F 4 6 | S swordsman
F 1 2 | W
T 6 1 | S archer
S swordsman | S swordsman
W | S archer
W | S archer
T 1 2 | S swordsman
S swordsman | S swordsman
F 4 1 | S swordsman
S archer | S archer
S swordsman | S archer
T 6 9 | S swordsman
T 8 1 | S swordsman
F 0 6 | S swordsman
S archer | S swordsman
T 0 4 | W
F 8 5 | S swordsman
T 1 4 | S swordsman
F 5 2 | S archer
S archer | S swordsman
F 3 2 | S swordsman
W | S swordsman
W | S archer
T 9 2 | S swordsman
S swordsman | S swordsman
