map:map10x10.json
player1:random_bot.py
player2:mcts
F 7 2 | F 2 1
S swordsman | F 7 8
F 5 8 | W
F 9 2 | F 7 6
F 0 0 | S archer
T 6 5 | S swordsman
S swordsman | S archer
S swordsman | S archer
W | S archer
F 6 8 | S archer
W | W
S archer | W
S swordsman | F 3 3
T 1 7 | W
T 5 7 | W
S archer | F 4 6
W | W
T 7 9 | W
F 3 3 | F 6 4
T 3 4 | W
W | W
F 2 4 | F 8 8
S archer | W
T 1 8 | F 2 6
S archer | W
F 5 5 | W
W | F 5 4
W | W
W | S archer
S swordsman | W
S archer | S swordsman
S swordsman | W
F 9 8 | S swordsman
T 7 6 | W
T 7 9 | F 2 5
F 1 8 | W
F 6 5 | F 4 4
