map:map10x10.json
player1:random_bot.py
player2:mcts
F 8 4 | S swordsman
S swordsman | F 4 4
T 4 9 | F 5 8
S swordsman | F 0 2
F 6 7 | F 1 0
S archer | F 6 5
W | F 7 5
T 8 6 | F 5 4
T 1 5 | F 3 3
T 9 6 | F 4 3
F 9 1 | T 5 7
T 4 9 | F 6 4
F 5 2 | W
T 3 9 | F 2 3
W | W
S archer | F 2 0
F 0 7 | F 7 8
T 9 1 | F 8 8
T 5 0 | W
S swordsman | F 2 1
F 9 8 | F 6 8
W | S swordsman
W | F 0 4
F 8 9 | S swordsman
S swordsman | F 4 7
F 0 4 | S swordsman
W | S swordsman
W | F 2 6
T 4 7 | T 0 3
T 0 5 | F 4 6
F 2 5 | W
F 1 2 | S archer
S swordsman | S swordsman
W | S archer
W | S archer
S swordsman | T 7 6
S archer | T 2 2
T 2 3 | W
T 8 5 | T 0 5
W | S archer
T 7 9 | S archer
W | W
S swordsman | S archer
T 9 3 | S archer
W | S swordsman
T 0 5 | S swordsman
T 5 5 | S swordsman
T 7 9 | W
W | S archer
W | S archer
S archer | S swordsman
W | S archer
W | S swordsman
W | S swordsman
F 2 3 | S archer
T 8 9 | S archer
T 0 1 | S swordsman
T 4 7 | S swordsman
W | W
F 9 6 | S archer
T 4 2 | S archer
S swordsman | W
F 2 7 | S archer
W | S archer
S archer | T 3 6
S archer | S archer
W | S archer
S swordsman | S swordsman
