map:map15x15.json
player1:mcts
player2:minmax
F 6 1 | F 7 4
F 8 2 | F 9 6
F 4 0 | F 9 2
F 6 4 | F 8 1
F 5 0 | F 9 12
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
