map:map15x15.json
player1:mcts
player2:minmax
F 11 4 | F 7 4
W | F 10 8
F 12 10 | F 10 2
F 8 0 | F 8 2
F 12 2 | F 4 3
F 1 8 | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | T 7 2
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
W | F 2 11
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
