map:map15x15.json
player1:minmax
player2:mcts
F 7 4 | F 2 11
F 8 0 | F 3 12
F 4 14 | F 5 6
F 11 4 | F 4 2
W | F 3 0
F 3 7 | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
W | S swordsman
T 13 10 | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
S swordsman | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
W | W
W | W
S swordsman | W
W | W
W | S swordsman
W | W
W | W
W | W
S swordsman | S swordsman
