map:map5x5.json
player1:minmax
player2:mcts
F 1 4 | F 1 3
F 3 3 | S archer
F 3 1 | S archer
F 3 0 | S archer
F 0 1 | S swordsman
F 3 2 | F 3 2
S archer | T 1 2
F 1 1 | W
S swordsman | F 4 3
F 3 2 | S swordsman
W | S swordsman
S archer | W
S swordsman | W
S swordsman | W
S archer | W
S archer | S swordsman
W | W
S archer | W
W | W
S swordsman | W
S swordsman | S swordsman
S archer | W
S archer | W
W | W
S swordsman | W
W | W
S archer | W
W | S swordsman
S archer | W
W | W
S swordsman | W
S swordsman | W
W | W
S swordsman | S archer
S swordsman | W
S swordsman | W
W | W
S archer | W
W | S swordsman
W | W
S archer | W
W | W
W | W
S swordsman | W
S swordsman | S swordsman
S archer | W
S archer | W
S swordsman | W
W | W
S swordsman | S swordsman
W | W
S swordsman | W
W | W
S archer | S swordsman
S swordsman | W
S archer | W
S archer | W
S swordsman | W
S swordsman | W
S archer | W
