map:map5x5.json
player1:minmax
player2:mcts
F 3 2 | S swordsman
F 1 1 | F 1 3
F 0 1 | S archer
F 3 0 | S swordsman
F 1 4 | S archer
S archer | S swordsman
F 1 2 | S archer
S swordsman | S swordsman
F 3 3 | W
S swordsman | S archer
F 3 1 | W
W | W
S archer | W
F 4 3 | W
W | W
W | S swordsman
S archer | W
W | W
S swordsman | W
S swordsman | W
S archer | W
W | W
S swordsman | S swordsman
W | W
S swordsman | W
W | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | S swordsman
W | W
W | W
S archer | W
W | W
S swordsman | S swordsman
S swordsman | W
S swordsman | W
S archer | W
W | W
S archer | W
S swordsman | W
W | W
S swordsman | W
S archer | S swordsman
S swordsman | W
W | W
S archer | W
S swordsman | W
S swordsman | S swordsman
W | W
S archer | W
S archer | W
W | W
S swordsman | W
W | S swordsman
S swordsman | W
W | W
S swordsman | W
S archer | W
W | W
S swordsman | W
S swordsman | W
S archer | W
S swordsman | W
