map:map5x5.json
player1:minmax
player2:mcts
F 3 0 | W
F 1 1 | T 4 3
F 1 2 | F 0 1
F 3 2 | F 3 1
F 3 3 | S swordsman
F 1 4 | S archer
F 1 3 | S archer
S swordsman | S archer
S archer | W
S swordsman | S archer
S archer | W
W | W
S swordsman | W
S archer | W
S archer | S swordsman
W | W
S swordsman | W
S swordsman | W
S archer | S swordsman
S swordsman | W
S swordsman | W
S swordsman | W
W | S swordsman
S swordsman | W
S swordsman | W
W | W
S archer | W
S archer | W
W | W
S archer | S swordsman
S swordsman | W
S archer | W
W | S swordsman
S swordsman | W
S swordsman | W
S archer | W
W | W
S swordsman | W
S swordsman | W
S swordsman | W
W | S archer
