map:map10mly.json
player1:mcts
player2:minmax
F 2 5 | F 6 9
F 5 7 | F 1 2
F 1 9 | F 4 4
F 9 1 | F 4 2
F 8 6 | F 5 3
F 5 2 | F 9 6
F 1 5 | F 1 8
F 0 8 | F 6 8
F 5 4 | F 6 0
F 8 5 | F 6 6
F 5 0 | F 2 8
F 4 0 | F 4 5
W | W
W | W
S swordsman | F 4 9
W | W
W | W
F 1 3 | F 1 6
W | W
W | F 6 7
F 2 1 | W
W | W
F 0 9 | F 8 0
W | W
W | F 9 4
F 2 2 | W
W | W
F 9 7 | F 5 9
W | W
W | F 8 2
F 9 2 | W
W | F 4 7
F 4 3 | W
W | F 2 6
F 2 9 | W
W | F 1 0
F 8 4 | W
W | F 8 8
F 3 0 | W
W | F 6 5
F 9 0 | W
W | F 2 3
F 9 5 | S swordsman
W | W
F 3 8 | F 8 3
F 5 8 | W
W | F 4 6
F 9 8 | F 1 1
W | W
F 9 3 | F 1 4
F 2 4 | F 6 4
W | W
F 7 0 | F 6 3
S swordsman | F 8 1
W | W
F 3 9 | F 5 5
F 5 6 | W
F 2 0 | F 8 7
W | F 4 8
S archer | S archer
W | W
S swordsman | S archer
S swordsman | S swordsman
S swordsman | W
W | S swordsman
S archer | S swordsman
W | S swordsman
S archer | S swordsman
W | W
S archer | S archer
W | W
S archer | S archer
W | S swordsman
S archer | W
W | S archer
S archer | W
W | S swordsman
S archer | W
W | S swordsman
S swordsman | S archer
S swordsman | W
W | S swordsman
W | S swordsman
W | S swordsman
S archer | S archer
W | W
S swordsman | S swordsman
W | S archer
S swordsman | S archer
S archer | W
S swordsman | S swordsman
W | S archer
W | W
S archer | W
W | S archer
W | S swordsman
S archer | W
S swordsman | S archer
S swordsman | W
S swordsman | W
S archer | W
S swordsman | S swordsman
S archer | S archer
S archer | S archer
W | S swordsman
S archer | S archer
W | S archer
S archer | W
W | S archer
S archer | W
S swordsman | W
S swordsman | W
W | S archer
W | S archer
W | W
S archer | S swordsman
S archer | W
S archer | W
S swordsman | W
S archer | S archer
S swordsman | S swordsman
W | S swordsman
W | W
W | W
S swordsman | W
S swordsman | W
S archer | S swordsman
S swordsman | W
W | S swordsman
S archer | W
S archer | S archer
S archer | W
S archer | S archer
S archer | S archer
S archer | W
W | S archer
S archer | W
S archer | S archer
S archer | W
S archer | W
W | S swordsman
S swordsman | W
S archer | S archer
S archer | W
S archer | W
S swordsman | W
W | S archer
S archer | W
S archer | S swordsman
S archer | W
S archer | S archer
W | W
S swordsman | S archer
S archer | S archer
S archer | S swordsman
S archer | S archer
S archer | W
