map:map.json
player1:minmax.py
player2:random_bot.py
W | T 0 1
W | T 2 2
W | F 3 2
W | W
W | T 3 1
W | S archer
W | W
W | W
W | F 0 1
S swordsman | T 0 2
S swordsman | T 0 2
W | S swordsman
W | F 2 0
W | T 0 1
W | F 2 0
W | S swordsman
W | S swordsman
W | T 1 2
W | S archer
W | W
W | T 3 3
S swordsman | F 0 1
S swordsman | S swordsman
W | S swordsman
W | W
W | T 3 0
W | S archer
S swordsman | T 2 2
W | F 3 1
S swordsman | S swordsman
W | F 0 2
S swordsman | F 2 2
W | T 0 1
S swordsman | S archer
W | S archer
W | T 0 0
S swordsman | F 2 0
W | F 3 2
W | S swordsman
W | W
W | T 1 3
S swordsman | F 3 1
W | T 0 1
W | T 1 2
W | F 3 2
W | F 1 0
S swordsman | T 2 1
W | S archer
W | W
W | S swordsman
S swordsman | W
S swordsman | T 2 3
W | F 0 2
W | T 2 2
W | T 1 1
W | T 3 2
W | W
W | S archer
W | S swordsman
