map:map.json
player1:maciek_bot.py
player2:mcts.py
T 0 0 | F 0 3
T 0 1 | S swordsman
T 1 0 | F 1 2
T 0 2 | W
T 1 1 | S archer
T 2 0 | S swordsman
S swordsman | T 1 3
T 0 3 | W
T 1 2 | F 2 3
S swordsman | F 2 1
S swordsman | W
S swordsman | W
S swordsman | S archer
S swordsman | W
S swordsman | W
S swordsman | S archer
S swordsman | S swordsman
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | S swordsman
S swordsman | S archer
S swordsman | W
W | W
W | W
S swordsman | S archer
S swordsman | S archer
S swordsman | S archer
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | W
S swordsman | S archer
S swordsman | W
S swordsman | S swordsman
W | W
